Aggregate Stats [Response Time(ms)-%Err-BW] - select_PTT_AggRpt_All Monday 01/27/2020
label,n,tps,median,mean,sdev,cv,p90,p95,p99,min,max,%error,KB/sec
Dummy_Four,3572,3.99,4002,4002.50,2.33,0.00,4006,4008,4010,4000,4011,0.00,0.00
Dummy_One,3598,4.00,1002,1002.52,2.35,0.00,1006,1008,1009,1000,1011,0.00,0.00
Dummy_Three,3585,4.00,3002,3002.53,2.34,0.00,3006,3007,3010,3000,3011,0.00,0.00
Dummy_Two,3593,3.99,2002,2002.53,2.38,0.00,2006,2008,2010,2000,2010,0.00,0.00
Total,14348,15.88,2010,2499.53,1117.81,0.45,4003,4004,4008,1000,4011,0.00,0.00
